geo_id,scenario_id,week_date,complete_period,n,start_date,mean_spread,mean_dollars_per_1000_loads,rank
CA,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
CA,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
CA,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
CA,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
CA,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
CA,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
CA,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
CA,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
CA,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
CA,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
CA,S3,2013-12-30,True,4,2013-12-09,-0.04841666666666669,-24208.333333333347,1
CA,S3,2005-08-29,True,4,2005-08-08,-0.04645833333333335,-23229.166666666675,2
CA,S3,2022-05-30,True,4,2022-05-09,-0.04516666666666666,-22583.33333333333,3
CA,S3,2014-01-06,True,4,2013-12-16,-0.043625,-21812.5,4
CA,S3,2005-09-05,True,4,2005-08-15,-0.04220833333333335,-21104.166666666675,5
CA,S4,2005-08-29,True,4,2005-08-08,-0.04645833333333335,-23229.166666666675,1
CA,S4,2022-05-30,True,4,2022-05-09,-0.04516666666666666,-22583.33333333333,2
CA,S4,2005-09-05,True,4,2005-08-15,-0.04220833333333335,-21104.166666666675,3
CA,S4,2022-06-06,True,4,2022-05-16,-0.04054166666666667,-20270.833333333336,4
CA,S4,2005-09-12,True,4,2005-08-22,-0.03862500000000002,-19312.50000000001,5
CA,S5,2005-09-26,True,4,2005-09-05,-0.19466666666666665,-97333.33333333334,1
CA,S5,2013-12-30,True,4,2013-12-09,-0.18825000000000003,-94125.00000000001,2
CA,S5,2005-09-19,True,4,2005-08-29,-0.17354166666666662,-86770.83333333331,3
CA,S5,2013-12-23,True,4,2013-12-02,-0.16879166666666667,-84395.83333333334,4
CA,S5,2005-10-03,True,4,2005-09-12,-0.15416666666666667,-77083.33333333334,5
CA,S6,2005-09-26,True,4,2005-09-05,-0.19466666666666665,-97333.33333333334,1
CA,S6,2005-09-19,True,4,2005-08-29,-0.17354166666666662,-86770.83333333331,2
CA,S6,2013-12-30,True,4,2013-12-09,-0.16824999999999998,-84124.99999999999,3
CA,S6,2005-09-12,True,4,2005-08-22,-0.15262499999999996,-76312.49999999997,4
CA,S6,2005-10-03,True,4,2005-09-12,-0.14916666666666667,-74583.33333333334,5
PADD1,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD1,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD1,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD1,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD1,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD1,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD1,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD1,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
PADD1,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
PADD1,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
PADD1,S3,2013-12-30,True,4,2013-12-09,-0.049166666666666664,-24583.333333333332,1
PADD1,S3,2014-01-06,True,4,2013-12-16,-0.044208333333333336,-22104.166666666668,2
PADD1,S3,2005-08-29,True,4,2005-08-08,-0.04379166666666669,-21895.833333333343,3
PADD1,S3,2005-09-05,True,4,2005-08-15,-0.039833333333333346,-19916.66666666667,4
PADD1,S3,2014-01-13,True,4,2013-12-23,-0.03958333333333336,-19791.666666666682,5
PADD1,S4,2005-08-29,True,4,2005-08-08,-0.04379166666666669,-21895.833333333343,1
PADD1,S4,2005-09-05,True,4,2005-08-15,-0.039833333333333346,-19916.66666666667,2
PADD1,S4,2013-09-30,True,4,2013-09-09,-0.03704166666666664,-18520.833333333318,3
PADD1,S4,2005-09-12,True,4,2005-08-22,-0.03691666666666667,-18458.333333333332,4
PADD1,S4,2005-09-19,True,4,2005-08-29,-0.03483333333333331,-17416.666666666657,5
PADD1,S5,2013-12-30,True,4,2013-12-09,-0.1971666666666667,-98583.33333333336,1
PADD1,S5,2005-09-26,True,4,2005-09-05,-0.18270833333333336,-91354.16666666669,2
PADD1,S5,2013-12-23,True,4,2013-12-02,-0.17754166666666665,-88770.83333333334,3
PADD1,S5,2005-09-19,True,4,2005-08-29,-0.16108333333333336,-80541.66666666669,4
PADD1,S5,2013-12-16,True,4,2013-11-25,-0.15775000000000003,-78875.00000000001,5
PADD1,S6,2005-09-26,True,4,2005-09-05,-0.18270833333333336,-91354.16666666669,1
PADD1,S6,2013-12-30,True,4,2013-12-09,-0.1771666666666667,-88583.33333333333,2
PADD1,S6,2005-09-19,True,4,2005-08-29,-0.16108333333333336,-80541.66666666669,3
PADD1,S6,2013-12-23,True,4,2013-12-02,-0.15754166666666664,-78770.83333333331,4
PADD1,S6,2005-10-03,True,4,2005-09-12,-0.14037500000000003,-70187.5,5
PADD1A,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD1A,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD1A,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD1A,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD1A,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD1A,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD1A,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD1A,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
PADD1A,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
PADD1A,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
PADD1A,S3,2013-12-30,True,4,2013-12-09,-0.05024999999999996,-25124.999999999978,1
PADD1A,S3,2014-01-06,True,4,2013-12-16,-0.04516666666666663,-22583.333333333314,2
PADD1A,S3,2005-08-29,True,4,2005-08-08,-0.044666666666666646,-22333.33333333332,3
PADD1A,S3,2005-09-05,True,4,2005-08-15,-0.04062499999999998,-20312.49999999999,4
PADD1A,S3,2014-01-13,True,4,2013-12-23,-0.04045833333333329,-20229.166666666646,5
PADD1A,S4,2005-08-29,True,4,2005-08-08,-0.044666666666666646,-22333.33333333332,1
PADD1A,S4,2005-09-05,True,4,2005-08-15,-0.04062499999999998,-20312.49999999999,2
PADD1A,S4,2013-09-30,True,4,2013-09-09,-0.03770833333333337,-18854.166666666686,3
PADD1A,S4,2005-09-12,True,4,2005-08-22,-0.037625000000000006,-18812.5,4
PADD1A,S4,2005-09-19,True,4,2005-08-29,-0.03554166666666665,-17770.833333333325,5
PADD1A,S5,2013-12-30,True,4,2013-12-09,-0.2009166666666667,-100458.33333333334,1
PADD1A,S5,2005-09-26,True,4,2005-09-05,-0.18620833333333334,-93104.16666666667,2
PADD1A,S5,2013-12-23,True,4,2013-12-02,-0.18087500000000004,-90437.50000000001,3
PADD1A,S5,2005-09-19,True,4,2005-08-29,-0.16416666666666666,-82083.33333333333,4
PADD1A,S5,2013-12-16,True,4,2013-11-25,-0.16066666666666668,-80333.33333333334,5
PADD1A,S6,2005-09-26,True,4,2005-09-05,-0.18620833333333334,-93104.16666666667,1
PADD1A,S6,2013-12-30,True,4,2013-12-09,-0.18091666666666667,-90458.33333333334,2
PADD1A,S6,2005-09-19,True,4,2005-08-29,-0.16416666666666666,-82083.33333333333,3
PADD1A,S6,2013-12-23,True,4,2013-12-02,-0.16087500000000002,-80437.50000000001,4
PADD1A,S6,2005-10-03,True,4,2005-09-12,-0.14316666666666666,-71583.33333333333,5
PADD1B,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD1B,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD1B,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD1B,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD1B,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD1B,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD1B,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD1B,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
PADD1B,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
PADD1B,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
PADD1B,S3,2013-12-30,True,4,2013-12-09,-0.0497083333333333,-24854.16666666665,1
PADD1B,S3,2014-01-06,True,4,2013-12-16,-0.04470833333333331,-22354.166666666653,2
PADD1B,S3,2005-08-29,True,4,2005-08-08,-0.04412500000000001,-22062.500000000007,3
PADD1B,S3,2005-09-05,True,4,2005-08-15,-0.04016666666666667,-20083.333333333336,4
PADD1B,S3,2014-01-13,True,4,2013-12-23,-0.03999999999999995,-19999.999999999975,5
PADD1B,S4,2005-08-29,True,4,2005-08-08,-0.04412500000000001,-22062.500000000007,1
PADD1B,S4,2005-09-05,True,4,2005-08-15,-0.04016666666666667,-20083.333333333336,2
PADD1B,S4,2013-09-30,True,4,2013-09-09,-0.03729166666666664,-18645.833333333318,3
PADD1B,S4,2005-09-12,True,4,2005-08-22,-0.0372083333333333,-18604.16666666665,4
PADD1B,S4,2005-09-19,True,4,2005-08-29,-0.03516666666666664,-17583.33333333332,5
PADD1B,S5,2013-12-30,True,4,2013-12-09,-0.19904166666666673,-99520.83333333337,1
PADD1B,S5,2005-09-26,True,4,2005-09-05,-0.1845416666666666,-92270.83333333331,2
PADD1B,S5,2013-12-23,True,4,2013-12-02,-0.1792083333333334,-89604.16666666672,3
PADD1B,S5,2005-09-19,True,4,2005-08-29,-0.1627083333333333,-81354.16666666664,4
PADD1B,S5,2013-12-16,True,4,2013-11-25,-0.15920833333333342,-79604.16666666672,5
PADD1B,S6,2005-09-26,True,4,2005-09-05,-0.1845416666666666,-92270.83333333331,1
PADD1B,S6,2013-12-30,True,4,2013-12-09,-0.1790416666666667,-89520.83333333336,2
PADD1B,S6,2005-09-19,True,4,2005-08-29,-0.1627083333333333,-81354.16666666664,3
PADD1B,S6,2013-12-23,True,4,2013-12-02,-0.1592083333333334,-79604.16666666669,4
PADD1B,S6,2005-10-03,True,4,2005-09-12,-0.1418333333333333,-70916.66666666666,5
PADD1C,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD1C,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD1C,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD1C,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD1C,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD1C,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD1C,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD1C,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
PADD1C,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
PADD1C,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
PADD1C,S3,2013-12-30,True,4,2013-12-09,-0.045374999999999985,-22687.499999999993,1
PADD1C,S3,2005-08-29,True,4,2005-08-08,-0.04183333333333336,-20916.66666666668,2
PADD1C,S3,2014-01-06,True,4,2013-12-16,-0.04083333333333332,-20416.666666666657,3
PADD1C,S3,2005-09-05,True,4,2005-08-15,-0.03804166666666668,-19020.833333333343,4
PADD1C,S3,2014-01-13,True,4,2013-12-23,-0.03679166666666667,-18395.833333333332,5
PADD1C,S4,2005-08-29,True,4,2005-08-08,-0.04183333333333336,-20916.66666666668,1
PADD1C,S4,2005-09-05,True,4,2005-08-15,-0.03804166666666668,-19020.833333333343,2
PADD1C,S4,2022-05-30,True,4,2022-05-09,-0.035249999999999976,-17624.99999999999,3
PADD1C,S4,2005-09-12,True,4,2005-08-22,-0.035041666666666665,-17520.833333333332,4
PADD1C,S4,2013-09-30,True,4,2013-09-09,-0.03416666666666669,-17083.333333333347,5
PADD1C,S5,2013-12-30,True,4,2013-12-09,-0.17937500000000006,-89687.50000000003,1
PADD1C,S5,2005-09-26,True,4,2005-09-05,-0.1750833333333333,-87541.66666666666,2
PADD1C,S5,2013-12-23,True,4,2013-12-02,-0.1612083333333334,-80604.16666666669,3
PADD1C,S5,2005-09-19,True,4,2005-08-29,-0.15520833333333334,-77604.16666666669,4
PADD1C,S5,2013-12-16,True,4,2013-11-25,-0.14295833333333338,-71479.16666666669,5
PADD1C,S6,2005-09-26,True,4,2005-09-05,-0.1750833333333333,-87541.66666666666,1
PADD1C,S6,2013-12-30,True,4,2013-12-09,-0.15937500000000004,-79687.50000000003,2
PADD1C,S6,2005-09-19,True,4,2005-08-29,-0.15520833333333334,-77604.16666666669,3
PADD1C,S6,2013-12-23,True,4,2013-12-02,-0.14120833333333338,-70604.16666666669,4
PADD1C,S6,2005-09-12,True,4,2005-08-22,-0.13570833333333335,-67854.16666666667,5
PADD2,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD2,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD2,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD2,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD2,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD2,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD2,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD2,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
PADD2,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
PADD2,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
PADD2,S3,2013-12-30,True,4,2013-12-09,-0.043541666666666645,-21770.83333333332,1
PADD2,S3,2005-08-29,True,4,2005-08-08,-0.04091666666666664,-20458.33333333332,2
PADD2,S3,2014-01-06,True,4,2013-12-16,-0.03920833333333332,-19604.166666666657,3
PADD2,S3,2005-09-05,True,4,2005-08-15,-0.03716666666666665,-18583.33333333333,4
PADD2,S3,2022-05-30,True,4,2022-05-09,-0.03712500000000002,-18562.50000000001,5
PADD2,S4,2005-08-29,True,4,2005-08-08,-0.04091666666666664,-20458.33333333332,1
PADD2,S4,2005-09-05,True,4,2005-08-15,-0.03716666666666665,-18583.33333333333,2
PADD2,S4,2022-05-30,True,4,2022-05-09,-0.03712500000000002,-18562.50000000001,3
PADD2,S4,2005-09-12,True,4,2005-08-22,-0.034125,-17062.500000000004,4
PADD2,S4,2022-06-06,True,4,2022-05-16,-0.03329166666666668,-16645.83333333334,5
PADD2,S5,2005-09-26,True,4,2005-09-05,-0.17124999999999996,-85624.99999999999,1
PADD2,S5,2013-12-30,True,4,2013-12-09,-0.17070833333333335,-85354.16666666669,2
PADD2,S5,2013-12-23,True,4,2013-12-02,-0.15325,-76625.0,3
PADD2,S5,2005-09-19,True,4,2005-08-29,-0.15220833333333328,-76104.16666666664,4
PADD2,S5,2005-10-03,True,4,2005-09-12,-0.13579166666666664,-67895.83333333331,5
PADD2,S6,2005-09-26,True,4,2005-09-05,-0.17124999999999996,-85624.99999999999,1
PADD2,S6,2005-09-19,True,4,2005-08-29,-0.15220833333333328,-76104.16666666664,2
PADD2,S6,2013-12-30,True,4,2013-12-09,-0.15070833333333333,-75354.16666666666,3
PADD2,S6,2005-09-12,True,4,2005-08-22,-0.13345833333333335,-66729.16666666666,4
PADD2,S6,2013-12-23,True,4,2013-12-02,-0.13324999999999998,-66625.0,5
PADD3,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD3,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD3,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD3,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD3,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD3,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD3,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD3,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
PADD3,S2,2002-05-13,True,4,2002-04-22,0.0,0.0,4
PADD3,S2,2002-05-20,True,4,2002-04-29,0.0,0.0,5
PADD3,S3,2013-12-30,True,4,2013-12-09,-0.04050000000000005,-20250.000000000025,1
PADD3,S3,2005-08-29,True,4,2005-08-08,-0.0388333333333334,-19416.6666666667,2
PADD3,S3,2022-05-30,True,4,2022-05-09,-0.037708333333333344,-18854.16666666667,3
PADD3,S3,2014-01-06,True,4,2013-12-16,-0.03645833333333337,-18229.166666666686,4
PADD3,S3,2005-09-05,True,4,2005-08-15,-0.035250000000000045,-17625.000000000022,5
PADD3,S4,2005-08-29,True,4,2005-08-08,-0.0388333333333334,-19416.6666666667,1
PADD3,S4,2022-05-30,True,4,2022-05-09,-0.037708333333333344,-18854.16666666667,2
PADD3,S4,2005-09-05,True,4,2005-08-15,-0.035250000000000045,-17625.000000000022,3
PADD3,S4,2022-06-06,True,4,2022-05-16,-0.03383333333333334,-16916.66666666667,4
PADD3,S4,2005-09-12,True,4,2005-08-22,-0.032250000000000056,-16125.00000000003,5
PADD3,S5,2005-09-26,True,4,2005-09-05,-0.16245833333333332,-81229.16666666666,1
PADD3,S5,2013-12-30,True,4,2013-12-09,-0.15716666666666668,-78583.33333333334,2
PADD3,S5,2005-09-19,True,4,2005-08-29,-0.14479166666666665,-72395.83333333333,3
PADD3,S5,2013-12-23,True,4,2013-12-02,-0.1409166666666667,-70458.33333333334,4
PADD3,S5,2005-10-03,True,4,2005-09-12,-0.12866666666666665,-64333.33333333333,5
PADD3,S6,2005-09-26,True,4,2005-09-05,-0.16245833333333332,-81229.16666666666,1
PADD3,S6,2005-09-19,True,4,2005-08-29,-0.14479166666666665,-72395.83333333333,2
PADD3,S6,2013-12-30,True,4,2013-12-09,-0.13716666666666666,-68583.33333333334,3
PADD3,S6,2005-09-12,True,4,2005-08-22,-0.12733333333333333,-63666.66666666666,4
PADD3,S6,2005-10-03,True,4,2005-09-12,-0.12366666666666665,-61833.33333333333,5
PADD4,S1,2002-01-28,True,4,2002-01-07,0.0,0.0,1
PADD4,S1,2002-02-04,True,4,2002-01-14,0.0,0.0,2
PADD4,S1,2002-02-11,True,4,2002-01-21,0.0,0.0,3
PADD4,S1,2002-02-18,True,4,2002-01-28,0.0,0.0,4
PADD4,S1,2002-02-25,True,4,2002-02-04,0.0,0.0,5
PADD4,S2,2002-04-22,True,4,2002-04-01,0.0,0.0,1
PADD4,S2,2002-04-29,True,4,2002-04-08,0.0,0.0,2
PADD4,S2,2002-05-06,True,4,2002-04-15,0.0,0.0,3
