geo_id,scenario_id,paired_scenario,season,weeks,without_clause,with_clause,clause_uplift,squeeze_without,squeeze_with
CA,S3,S4,HEATING,637,0.0001339612768184173,0.020133961276818407,0.019999999999999712,0.0021784406070120377,0.0006658817373103083
CA,S3,S4,NON_HEATING,650,-0.0001012820512820532,-0.0001012820512820532,0.0,0.002235384615384617,0.002235384615384617
CA,S5,S6,HEATING,637,-0.0005429094714808949,0.01945709052851912,0.019999999999999712,0.007173469387755104,0.0033995290423861836
CA,S5,S6,NON_HEATING,641,0.0007969318772750943,0.0007969318772750943,0.0,0.006781331253250131,0.006781331253250131
PADD1,S3,S4,HEATING,637,-0.0005965463108320235,0.01940345368916796,0.019999999999999712,0.0033218210361067486,0.0006114599686028262
PADD1,S3,S4,NON_HEATING,650,0.0006648717948717946,0.0006648717948717946,0.0,0.002574615384615385,0.002574615384615385
PADD1,S5,S6,HEATING,637,-0.004592883307169022,0.015407116692830973,0.019999999999999712,0.011792255363683932,0.00462611198325484
PADD1,S5,S6,NON_HEATING,641,0.005025481019240772,0.005025481019240772,0.0,0.006971138845553823,0.006971138845553823
PADD1A,S3,S4,HEATING,637,-0.0006138147566719028,0.019386185243328066,0.019999999999999712,0.0033877551020408143,0.0006365777080062782
PADD1A,S3,S4,NON_HEATING,650,0.0006851282051282056,0.0006851282051282056,0.0,0.002622820512820513,0.002622820512820513
PADD1A,S5,S6,HEATING,637,-0.0046800104657247574,0.015319989534275246,0.019999999999999712,0.012016221873364734,0.004807430664573523
PADD1A,S5,S6,NON_HEATING,641,0.0051354654186167425,0.0051354654186167425,0.0,0.007107904316172649,0.007107904316172649
PADD1B,S3,S4,HEATING,637,-0.0006172161172161174,0.01938278388278386,0.019999999999999712,0.0033584510727367924,0.000623757195185766
PADD1B,S3,S4,NON_HEATING,650,0.0006782051282051317,0.0006782051282051317,0.0,0.002598461538461537,0.002598461538461537
PADD1B,S5,S6,HEATING,637,-0.004649659863945578,0.015350340136054415,0.019999999999999712,0.011912872841444266,0.004721088435374152
PADD1B,S5,S6,NON_HEATING,641,0.005077743109724391,0.005077743109724391,0.0,0.00704082163286532,0.00704082163286532
PADD1C,S3,S4,HEATING,637,-0.00023547880690737616,0.01976452119309257,0.019999999999999712,0.0025837257980115113,0.0005520669806384084
PADD1C,S3,S4,NON_HEATING,650,0.0002812820512820515,0.0002812820512820515,0.0,0.0022374358974359,0.0022374358974359
PADD1C,S5,S6,HEATING,637,-0.0024984301412872795,0.017501569858712717,0.019999999999999712,0.008933281004709573,0.0030837257980115113
PADD1C,S5,S6,NON_HEATING,641,0.0028109724388975534,0.0028109724388975534,0.0,0.006393915756630273,0.006393915756630273
PADD2,S3,S4,HEATING,636,-5.6079664570232025e-05,0.019943920335429702,0.019999999999999712,0.002225104821802937,0.0005235849056603772
PADD2,S3,S4,NON_HEATING,650,9.794871794871668e-05,9.794871794871668e-05,0.0,0.002075897435897436,0.002075897435897436
PADD2,S5,S6,HEATING,636,-0.0014578092243186648,0.0185421907756813,0.019999999999999712,0.0075379979035639505,0.0029378930817610055
PADD2,S5,S6,NON_HEATING,641,0.0017290691627665094,0.0017290691627665094,0.0,0.006117264690587626,0.006117264690587626
PADD3,S3,S4,HEATING,636,0.00011713836477987166,0.020117138364779793,0.019999999999999712,0.001814465408805031,0.00046121593291404637
