geo_id,scenario_id,reset_frequency,seasonal_clause,weeks,sum_spread,mean_spread,mean_dollars_per_1000_loads,squeeze_share,p10,p50,p90,start_date,end_date
CA,S1,WEEKLY,False,1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-07,2026-09-14
CA,S2,WEEKLY,True,1289,12.739999999999817,0.009883630721489385,4941.815360744764,0.0,0.0,0.0,0.020000000000000018,2002-01-07,2026-09-14
CA,S3,MONTHLY,False,1287,0.019499999999997242,1.5151515151513008e-05,7.575757575756523,0.37839937839937837,-0.003166666666666651,0.0,0.003000000000000058,2002-01-07,2026-08-31
CA,S4,MONTHLY,True,1287,12.759499999999987,0.009914141414141403,4957.070707070706,0.17016317016317017,-0.0015000000000000568,0.004833333333333301,0.02133333333333337,2002-01-07,2026-08-31
CA,S5,QUARTERLY,False,1278,0.1650000000000072,0.0001291079812206629,64.55399061033113,0.44835680751173707,-0.010333333333333306,0.0,0.01050000000000001,2002-01-07,2026-06-29
CA,S6,QUARTERLY,True,1278,12.905000000000003,0.010097809076682318,5048.904538341156,0.20892018779342722,-0.0042166666666666845,0.010166666666666657,0.024499999999999966,2002-01-07,2026-06-29
PADD1,S1,WEEKLY,False,1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-07,2026-09-14
PADD1,S2,WEEKLY,True,1289,12.739999999999817,0.009883630721489385,4941.815360744764,0.0,0.0,0.0,0.020000000000000018,2002-01-07,2026-09-14
PADD1,S3,MONTHLY,False,1287,0.05216666666666739,4.05335405335411e-05,20.26677026677023,0.3682983682983683,-0.008066666666666656,0.0,0.008166666666666678,2002-01-07,2026-08-31
PADD1,S4,MONTHLY,True,1287,12.792166666666638,0.009939523439523418,4969.761719761723,0.16161616161616163,-0.003733333333333334,0.009999999999999981,0.02346666666666672,2002-01-07,2026-08-31
PADD1,S5,QUARTERLY,False,1278,0.29566666666666463,0.0002313510693792368,115.67553468961809,0.43661971830985913,-0.026550000000000025,0.0,0.02683333333333332,2002-01-07,2026-06-29
PADD1,S6,QUARTERLY,True,1278,13.035666666666687,0.010200052164840913,5100.026082420447,0.2996870109546166,-0.011716666666666653,0.010583333333333306,0.031333333333333324,2002-01-07,2026-06-29
PADD1A,S1,WEEKLY,False,1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-07,2026-09-14
PADD1A,S2,WEEKLY,True,1289,12.739999999999817,0.009883630721489385,4941.815360744763,0.0,0.0,0.0,0.020000000000000018,2002-01-07,2026-09-14
PADD1A,S3,MONTHLY,False,1287,0.05433333333333212,4.221704221704128e-05,21.108521108520527,0.3682983682983683,-0.008233333333333315,0.0,0.008400000000000029,2002-01-07,2026-08-31
PADD1A,S4,MONTHLY,True,1287,12.794333333333318,0.00994120694120693,4970.603470603469,0.1623931623931624,-0.0037333333333333337,0.010000000000000009,0.023566666666666684,2002-01-07,2026-08-31
PADD1A,S5,QUARTERLY,False,1278,0.310666666666663,0.00024308815858111344,121.54407929055641,0.43661971830985913,-0.02700000000000002,0.0,0.027333333333333355,2002-01-07,2026-06-29
PADD1A,S6,QUARTERLY,True,1278,13.050666666666668,0.010211789254042777,5105.894627021386,0.2996870109546166,-0.012166666666666659,0.010333333333333361,0.031666666666666676,2002-01-07,2026-06-29
PADD1B,S1,WEEKLY,False,1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-07,2026-09-14
PADD1B,S2,WEEKLY,True,1289,12.739999999999817,0.009883630721489385,4941.815360744763,0.0,0.0,0.0,0.020000000000000018,2002-01-07,2026-09-14
PADD1B,S3,MONTHLY,False,1287,0.04766666666666844,3.703703703703841e-05,18.51851851851928,0.36985236985236986,-0.008166666666666655,0.0,0.008333333333333304,2002-01-07,2026-08-31
PADD1B,S4,MONTHLY,True,1287,12.787666666666661,0.009936026936026932,4968.013468013465,0.16317016317016317,-0.003833333333333322,0.00983333333333336,0.023400000000000046,2002-01-07,2026-08-31
PADD1B,S5,QUARTERLY,False,1278,0.2930000000000005,0.00022926447574334936,114.6322378716754,0.4381846635367762,-0.02683333333333333,0.0,0.027049999999999977,2002-01-07,2026-06-29
PADD1B,S6,QUARTERLY,True,1278,13.033000000000005,0.010197965571205012,5098.982785602508,0.30125195618153366,-0.01200000000000001,0.010416666666666644,0.03149999999999998,2002-01-07,2026-06-29
PADD1C,S1,WEEKLY,False,1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-07,2026-09-14
PADD1C,S2,WEEKLY,True,1289,12.739999999999817,0.009883630721489385,4941.815360744763,0.0,0.0,0.0,0.020000000000000018,2002-01-07,2026-09-14
PADD1C,S3,MONTHLY,False,1287,0.03283333333333488,2.5511525511526713e-05,12.755762755763305,0.37373737373737376,-0.005333333333333339,0.0,0.00533333333333334,2002-01-07,2026-08-31
PADD1C,S4,MONTHLY,True,1287,12.772833333333296,0.009924501424501395,4962.250712250706,0.16472416472416473,-0.00250000000000003,0.008166666666666766,0.02233333333333337,2002-01-07,2026-08-31
PADD1C,S5,QUARTERLY,False,1278,0.2103333333333404,0.00016458007303078278,82.2900365153902,0.44209702660406885,-0.017666666666666643,0.0,0.018166666666666664,2002-01-07,2026-06-29
PADD1C,S6,QUARTERLY,True,1278,12.950333333333313,0.01013328116849242,5066.640584246222,0.2167449139280125,-0.007333333333333331,0.010250000000000009,0.02733333333333335,2002-01-07,2026-06-29
PADD2,S1,WEEKLY,False,1288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-07,2026-09-14
PADD2,S2,WEEKLY,True,1288,12.719999999999818,0.009875776397515386,4937.888198757764,0.0,0.0,0.0,0.020000000000000018,2002-01-07,2026-09-14
