geo_id,month_number,valid_windows,seasonal_index
CA,1,106,1.0177305507951093
CA,2,97,1.0177292927916812
CA,3,105,1.007710987291151
CA,4,98,0.9952283125042869
CA,5,102,0.9915028017794072
CA,6,99,0.9833032160885917
CA,7,106,0.9758138717651472
CA,8,106,0.9815222923846274
CA,9,104,0.9893581966096806
CA,10,106,1.0024409347904502
CA,11,102,1.004127442884431
CA,12,107,1.0146510032148415
PADD1,1,106,1.0570626301862711
PADD1,2,97,1.051884645942824
PADD1,3,105,1.0277272400139625
PADD1,4,98,0.995560617060397
PADD1,5,102,0.972148313752767
PADD1,6,99,0.9492771980417165
PADD1,7,106,0.9365922510166447
PADD1,8,106,0.9475526199432821
PADD1,9,104,0.9697951964799192
PADD1,10,106,1.0028127485845832
PADD1,11,102,1.0239047547207676
PADD1,12,107,1.0487360845737297
PADD1A,1,106,1.0570753729264117
PADD1A,2,97,1.0518781121830858
PADD1A,3,105,1.0277047490425815
PADD1A,4,98,0.9955576817430764
PADD1A,5,102,0.9721469092700121
PADD1A,6,99,0.9492846399935883
PADD1A,7,106,0.9366131520294709
PADD1A,8,106,0.9475457851197939
PADD1A,9,104,0.9698090542501495
PADD1A,10,106,1.002815200561488
PADD1A,11,102,1.0238891154460532
PADD1A,12,107,1.04872930489808
PADD1B,1,106,1.057080611842774
PADD1B,2,97,1.0518456843205704
PADD1B,3,105,1.0277194120501094
PADD1B,4,98,0.9955716519828167
PADD1B,5,102,0.972153845790288
PADD1B,6,99,0.9492609912988951
PADD1B,7,106,0.9366022849157684
PADD1B,8,106,0.9475609667797941
PADD1B,9,104,0.9698041047301255
PADD1B,10,106,1.0028159458732075
PADD1B,11,102,1.0238984513248477
PADD1B,12,107,1.0487381952416628
PADD1C,1,106,1.0374092751328883
PADD1C,2,97,1.0347935126856616
PADD1C,3,105,1.0177221818043276
PADD1C,4,98,0.9953972656044527
PADD1C,5,102,0.9818248129293125
PADD1C,6,99,0.9662850205626802
PADD1C,7,106,0.956185350910743
PADD1C,8,106,0.9645402965042176
PADD1C,9,104,0.9795988412569557
PADD1C,10,106,1.00263168494908
PADD1C,11,102,1.0140118926012585
PADD1C,12,107,1.0316896347415079
PADD2,1,102,1.0274916544296817
PADD2,2,93,1.0262423473014235
PADD2,3,100,1.012572725508457
PADD2,4,94,0.9951186296852277
PADD2,5,98,0.9876302749281665
PADD2,6,94,0.9794436442728303
PADD2,7,102,0.9711796226525433
PADD2,8,102,0.9778294128096854
PADD2,9,99,0.9885697489064015
PADD2,10,102,1.0044982229680934
PADD2,11,98,1.0098593997756422
PADD2,12,102,1.0234043804401733
PADD3,1,102,1.01763872659588
PADD3,2,92,1.0177777049621952
PADD3,3,101,1.00764595511052
PADD3,4,94,0.9949993043814297
PADD3,5,97,0.991568326370803
PADD3,6,95,0.9833165586488368
PADD3,7,102,0.9756451451446515
PADD3,8,101,0.9814243460117674
PADD3,9,100,0.9893184777107848
PADD3,10,102,1.0025329798285434
PADD3,11,97,1.0038430488038252
PADD3,12,103,1.0145514354770422
PADD4,1,101,1.0274770890518186
PADD4,2,93,1.0263159192922522
PADD4,3,101,1.0126127817267423
PADD4,4,94,0.9950540962250652
PADD4,5,97,0.9867060269896513
PADD4,6,95,0.9748268994286854
PADD4,7,102,0.9658652509542652
PADD4,8,101,0.9729876562693183
PADD4,9,98,0.9844825387645293
PADD4,10,102,1.0026700230789722
PADD4,11,97,1.0088321338980726
PADD4,12,103,1.0230471780133108
PADD5,1,106,1.017738717282592
PADD5,2,97,1.017730470890195
PADD5,3,105,1.0077094469019992
PADD5,4,98,0.9952327809436396
PADD5,5,102,0.9914879751302018
PADD5,6,99,0.9832862676174103
PADD5,7,106,0.9758104002940291
PADD5,8,106,0.9815426453003084
PADD5,9,104,0.9893608194909149
PADD5,10,106,1.0024572330714943
PADD5,11,102,1.0041156937483484
PADD5,12,107,1.0146427952379566
PADD5XCA,1,106,1.0177507331638704
PADD5XCA,2,97,1.01772575849322
PADD5XCA,3,105,1.0077107405394554
PADD5XCA,4,98,0.9952131864841703
PADD5XCA,5,102,0.9915044803525325
PADD5XCA,6,99,0.9833040258984771
PADD5XCA,7,106,0.9758001535749328
PADD5XCA,8,106,0.9815279826847051
PADD5XCA,9,104,0.9893615126096997
PADD5XCA,10,106,1.0024573104165941
PADD5XCA,11,102,1.004123425799875
PADD5XCA,12,107,1.0146409508767051
US,1,106,1.027579568727579
US,2,97,1.0262468100498239
US,3,105,1.0127199565812468
US,4,98,0.9952962780295478
US,5,102,0.9866604037974833
US,6,99,0.9747935051965657
US,7,106,0.9660037235362389
US,8,106,0.9730290182780497
US,9,104,0.9844788771418815
US,10,106,1.0025511424085143
US,11,102,1.00906602998793
US,12,107,1.0231705593843992
