geo_id,recovered_offset,planted_offset,recovery_error,passed
CA,0.1502062963733546,0.15,0.00020629637335459194,True
PADD1,0.029463525181771866,0.03,0.0005364748182281331,True
PADD1A,0.049450340705834206,0.05,0.0005496592941657968,True
PADD1B,0.03945101451167776,0.04,0.0005489854883222386,True
PADD1C,0.009822831165702706,0.01,0.00017716883429729456,True
PADD2,0.0,0.0,0.0,True
PADD3,-0.03983089800106343,-0.04,0.00016910199893657024,True
PADD4,0.02000370384457506,0.02,3.703844575059928e-06,True
PADD5,0.10019358294467717,0.1,0.00019358294467716752,True
PADD5XCA,0.060188245250488936,0.06,0.0001882452504889387,True
US,0.0,0.0,0.0,True
