geo_id,scenario_id,weeks,mean_spread
CA,S1,1284,0.0
CA,S2,1284,0.00984423676012447
CA,S3,1282,1.5470618824750766e-05
CA,S4,1282,0.009875065002600096
CA,S5,1273,0.00012594920136161833
CA,S6,1273,0.010055250065462165
PADD1,S1,1284,0.0
PADD1,S2,1284,0.00984423676012447
PADD1,S3,1282,3.7701508060322786e-05
PADD1,S4,1282,0.009897295891835653
PADD1,S5,1273,0.00021798900235663697
PADD1,S6,1273,0.010147289866457203
PADD1A,S1,1284,0.0
PADD1A,S2,1284,0.00984423676012447
PADD1A,S3,1282,3.926157046281748e-05
PADD1A,S4,1282,0.009898855954238159
PADD1A,S5,1273,0.00022937941869599068
PADD1A,S6,1273,0.010158680282796543
PADD1B,S1,1284,0.0
PADD1B,S2,1284,0.00984423676012447
PADD1B,S3,1282,3.406136245449956e-05
PADD1B,S4,1282,0.009893655746229843
PADD1B,S5,1273,0.00021550144016758442
PADD1B,S6,1273,0.010144802304268138
PADD1C,S1,1284,0.0
PADD1C,S2,1284,0.00984423676012447
PADD1C,S3,1282,2.4310972438898817e-05
PADD1C,S4,1282,0.009883905356214221
PADD1C,S5,1273,0.00015645456925897382
PADD1C,S6,1273,0.010085755433359503
PADD2,S1,1284,0.0
PADD2,S2,1284,0.00984423676012447
PADD2,S3,1282,1.9240769630784107e-05
PADD2,S4,1282,0.009878835153406096
PADD2,S5,1273,0.00012987693113380186
PADD2,S6,1273,0.010059177795234337
PADD3,S1,1284,0.0
PADD3,S2,1284,0.00984423676012447
PADD3,S3,1282,2.0020800832030405e-05
PADD3,S4,1282,0.009879615184607334
PADD3,S5,1273,0.00011246399581042029
PADD3,S6,1273,0.010041764859910943
PADD4,S1,1284,0.0
PADD4,S2,1284,0.00984423676012447
PADD4,S3,1282,2.340093603744102e-05
PADD4,S4,1282,0.009882995319812753
PADD4,S5,1273,0.0001412673474731599
PADD4,S6,1273,0.010070568211573696
PADD5,S1,1284,0.0
PADD5,S2,1284,0.00984423676012447
PADD5,S3,1282,1.8070722828916234e-05
PADD5,S4,1282,0.00987766510660424
PADD5,S5,1273,0.00012477088242995787
PADD5,S6,1273,0.010054071746530521
PADD5XCA,S1,1284,0.0
PADD5XCA,S2,1284,0.00984423676012447
PADD5XCA,S3,1282,1.7290691627666168e-05
PADD5XCA,S4,1282,0.009876885075402995
PADD5XCA,S5,1273,0.00011272584446189763
PADD5XCA,S6,1273,0.010042026708562439
US,S1,1284,0.0
US,S2,1284,0.00984423676012447
US,S3,1282,1.9240769630784042e-05
US,S4,1282,0.009878835153406101
US,S5,1273,0.00012987693113380088
US,S6,1273,0.010059177795234332
