geo_id,week_date,scenario_id,index_price,reset_price,carrier_fsc,shipper_fsc,spread
US,2021-12-06,S1,2.661,2.661,0.23516666666666666,0.23516666666666666,0.0
US,2021-12-06,S3,2.661,2.661,0.23516666666666666,0.23516666666666666,0.0
US,2021-12-06,S5,2.661,2.587,0.23516666666666666,0.22283333333333336,-0.012333333333333307
US,2021-12-13,S1,2.727,2.727,0.24616666666666664,0.24616666666666664,0.0
US,2021-12-13,S3,2.727,2.661,0.24616666666666664,0.23516666666666666,-0.010999999999999982
US,2021-12-13,S5,2.727,2.587,0.24616666666666664,0.22283333333333336,-0.02333333333333329
US,2021-12-20,S1,2.801,2.801,0.2585,0.2585,0.0
US,2021-12-20,S3,2.801,2.661,0.2585,0.23516666666666666,-0.023333333333333345
US,2021-12-20,S5,2.801,2.587,0.2585,0.22283333333333336,-0.03566666666666665
US,2021-12-27,S1,2.871,2.871,0.27016666666666667,0.27016666666666667,0.0
US,2021-12-27,S3,2.871,2.661,0.27016666666666667,0.23516666666666666,-0.035
US,2021-12-27,S5,2.871,2.587,0.27016666666666667,0.22283333333333336,-0.04733333333333331
US,2022-01-03,S1,2.94,2.94,0.2816666666666667,0.2816666666666667,0.0
US,2022-01-03,S3,2.94,2.94,0.2816666666666667,0.2816666666666667,0.0
US,2022-01-03,S5,2.94,2.94,0.2816666666666667,0.2816666666666667,0.0
US,2022-01-10,S1,3.01,3.01,0.2933333333333333,0.2933333333333333,0.0
US,2022-01-10,S3,3.01,2.94,0.2933333333333333,0.2816666666666667,-0.011666666666666603
US,2022-01-10,S5,3.01,2.94,0.2933333333333333,0.2816666666666667,-0.011666666666666603
US,2022-01-17,S1,3.082,3.082,0.3053333333333333,0.3053333333333333,0.0
US,2022-01-17,S3,3.082,2.94,0.3053333333333333,0.2816666666666667,-0.023666666666666614
US,2022-01-17,S5,3.082,2.94,0.3053333333333333,0.2816666666666667,-0.023666666666666614
US,2022-01-24,S1,3.155,3.155,0.31749999999999995,0.31749999999999995,0.0
US,2022-01-24,S3,3.155,2.94,0.31749999999999995,0.2816666666666667,-0.03583333333333327
US,2022-01-24,S5,3.155,2.94,0.31749999999999995,0.2816666666666667,-0.03583333333333327
